config,pair,cat,mesh,pyroki,tight,spheres
home,rightbase_link|rightupper_arm_link,plates/self,0.042935991188982225,-0.12884055078029633,-0.07911055535078049,0.062093275292091035
home,rightwrist_link|rightgripper_base,fork/self,-0.004847767603013188,-0.11064895242452621,-0.06980418413877487,0.0009224568479219188
home,rightlower_forearm_link|rightgripper_base,fork/self,0.049979481297055726,-0.03971517086029053,-0.02796999365091324,0.05198513755858993
home,rightbase_link|rightlower_forearm_link,plates/self,0.4151270345465493,0.2790968716144562,0.3257686197757721,0.4288500550567341
home,rightbase_link|rightwrist_link,plates/self,0.48619894267920755,0.34925171732902527,0.4013442099094391,0.4946444756518795
home,rightbase_link|rightgripper_base,fork/self,0.5303006872963961,0.3721040189266205,0.4308764636516571,0.5388091133595612
home,rightupper_arm_link|rightlower_forearm_link,arm-links/self,0.18019489408608108,0.15551093220710754,0.13794904947280884,0.18871848455265341
home,rightgripper_base|leftgripper_base,fork/inter-arm,0.18625538962039123,0.030640259385108948,0.11019745469093323,0.16797826398814272
home,rightright_finger_link|leftleft_finger_link,fingers/inter-arm,0.014209421900263624,0.008676320314407349,-0.03401583805680275,0.017082186538908514
home,rightleft_finger_link|leftright_finger_link,fingers/inter-arm,0.014209446673434906,0.008676350116729736,-0.034051913768053055,0.017082218831313056
home,rightright_finger_link|middlecamera_body,fingers/inter-arm,0.1850861279676061,0.15924577414989471,0.16190014779567719,0.21095165686931577
home,leftgripper_base|middlecamera_body,fork/inter-arm,0.17776820504500612,0.14545708894729614,0.170012429356575,0.19585527563012686
home,leftleft_finger_link|middlecamera_cover,fingers/inter-arm,0.21058247284262352,0.13714127242565155,0.18375934660434723,0.22496116190457668
home,rightbase_link|rightupper_forearm_link,plates/self,0.3396217668570723,0.12118977308273315,0.22348763048648834,0.34279865848621327
self_fold_apex,rightbase_link|rightupper_arm_link,plates/self,0.008628168971530452,-0.15844415128231049,-0.11967826634645462,0.018594198626425466
self_fold_apex,rightwrist_link|rightgripper_base,fork/self,-0.0048477488069733395,-0.1106489822268486,-0.06980420649051666,0.0009224796271598036
self_fold_apex,rightlower_forearm_link|rightgripper_base,fork/self,0.05153618208471502,-0.04209895431995392,-0.02827521413564682,0.05240710751300124
self_fold_apex,rightbase_link|rightlower_forearm_link,plates/self,0.061378816246589835,-0.15687191486358643,-0.04946166276931763,0.058269365710416035
self_fold_apex,rightbase_link|rightwrist_link,plates/self,0.08384101765464377,-0.09834055602550507,-0.010828778147697449,0.0872740383458737
self_fold_apex,rightbase_link|rightgripper_base,fork/self,0.08886717793868618,-0.07922662794589996,-0.0021539926528930664,0.09931876748683022
self_fold_apex,rightupper_arm_link|rightlower_forearm_link,arm-links/self,-0.005755094300124479,-0.1245819479227066,-0.08185979723930359,0.0182911806960224
self_fold_apex,rightgripper_base|leftgripper_base,fork/inter-arm,0.5546953935424603,0.42042312026023865,0.47446319460868835,0.5493972689967036
self_fold_apex,rightright_finger_link|leftleft_finger_link,fingers/inter-arm,0.4548744213372367,0.4217595160007477,0.4064348340034485,0.45413894866919347
self_fold_apex,rightleft_finger_link|leftright_finger_link,fingers/inter-arm,0.4547830345455749,0.4216444790363312,0.4064074456691742,0.4540848905749455
self_fold_apex,rightright_finger_link|middlecamera_body,fingers/inter-arm,0.2244445030159856,0.20233601331710815,0.19581180810928345,0.25589338368673675
self_fold_apex,leftgripper_base|middlecamera_body,fork/inter-arm,0.17776820504500612,0.14545708894729614,0.170012429356575,0.19585527563012686
self_fold_apex,leftleft_finger_link|middlecamera_cover,fingers/inter-arm,0.21058247284262352,0.13714127242565155,0.18375934660434723,0.22496116190457668
self_fold_apex,rightbase_link|rightupper_forearm_link,plates/self,0.06433572265141169,-0.09661908447742462,-0.06742861866950989,0.07598752025770535
arms_converge_apex,rightbase_link|rightupper_arm_link,plates/self,0.04318579310179661,-0.13823625445365906,-0.08772532641887665,0.05981516357697926
arms_converge_apex,rightwrist_link|rightgripper_base,fork/self,-0.0048460258231760875,-0.10942620038986206,-0.06956560909748077,0.0011135205156540921
arms_converge_apex,rightlower_forearm_link|rightgripper_base,fork/self,0.04885405466982898,-0.03860125690698624,-0.02752644568681717,0.051529967803090874
arms_converge_apex,rightbase_link|rightlower_forearm_link,plates/self,0.4703645778145664,0.37361493706703186,0.3823840022087097,0.4816093320649135
arms_converge_apex,rightbase_link|rightwrist_link,plates/self,0.5586339288424584,0.44350168108940125,0.47669896483421326,0.5710136360387443
arms_converge_apex,rightbase_link|rightgripper_base,fork/self,0.6168807633990495,0.4692419469356537,0.5092172622680664,0.6265182913045287
arms_converge_apex,rightupper_arm_link|rightlower_forearm_link,arm-links/self,0.17474973141393196,0.13504117727279663,0.12897372245788574,0.20226590707097344
arms_converge_apex,rightgripper_base|leftgripper_base,fork/inter-arm,-0.007836730055827345,-0.10664085298776627,-0.16678087413311005,0.014161692935864289
arms_converge_apex,rightright_finger_link|leftleft_finger_link,fingers/inter-arm,0.1001483715760796,0.08769579976797104,0.048377394676208496,0.1020338747980748
arms_converge_apex,rightleft_finger_link|leftright_finger_link,fingers/inter-arm,0.10014833466230444,0.08769574016332626,0.04833205044269562,0.1020338325938813
arms_converge_apex,rightright_finger_link|middlecamera_body,fingers/inter-arm,0.18229294413844954,0.15650583803653717,0.16608987748622894,0.20847355600388168
arms_converge_apex,leftgripper_base|middlecamera_body,fork/inter-arm,0.1692693918434383,0.13183939456939697,0.15539957582950592,0.19227065185622086
arms_converge_apex,leftleft_finger_link|middlecamera_cover,fingers/inter-arm,0.22315635519097418,0.15397579967975616,0.20213977992534637,0.24245331614223725
arms_converge_apex,rightbase_link|rightupper_forearm_link,plates/self,0.32200382105376907,0.1787939965724945,0.2078769952058792,0.3291983561063047
teleop_grasp_end,rightbase_link|rightupper_arm_link,plates/self,0.04522891144274329,-0.13393452763557434,-0.0836750790476799,0.06256116386658407
teleop_grasp_end,rightwrist_link|rightgripper_base,fork/self,-0.004845313471814616,-0.09246936440467834,-0.0663093626499176,0.0015384419626743202
teleop_grasp_end,rightlower_forearm_link|rightgripper_base,fork/self,0.04573936982636206,-0.06697068363428116,-0.03033585101366043,0.05545707004876064
teleop_grasp_end,rightbase_link|rightlower_forearm_link,plates/self,0.208799650263736,0.0968463122844696,0.12020152807235718,0.23231198380173237
teleop_grasp_end,rightbase_link|rightwrist_link,plates/self,0.1876402938877858,0.1281278133392334,0.11182713508605957,0.1962764561557697
teleop_grasp_end,rightbase_link|rightgripper_base,fork/self,0.13170985605940472,0.0977938175201416,0.04715564846992493,0.13541147998511358
teleop_grasp_end,rightupper_arm_link|rightlower_forearm_link,arm-links/self,0.16940328187564027,0.07249020040035248,0.0771462693810463,0.14196237442954013
